name,voice,description,personality,birthday,favorite,weak_point,sex,image_summaries
クラフト,"わぁ、キミもなんだ♡
じゃぁさ、ボクの作った街、
見せちゃうからおいでよ♪",マスターディスクを所持する運命に選ばれた高校生。自分のことを「ボク」と呼ぶが性別は不詳。幼い頃から手先が器用で手芸や工芸などのモノづくりが得意だったこともあり、周囲の人々から何かと頼りにされることが多く、自身もそれに喜びを覚えるようになった。そんな趣味が高じて、クラフト系のシミュレーションゲーム『ギャラクシーシティ・クラフト』にハマったが、マスターディスクの能力に目覚めたことで誰よりも精巧で完璧なモノづくりを求め続けるようになり、その邪魔をする存在を排除するようになってしまった。,明るく前向きでマイペースだが、ひとつのことに熱中すると周りが見えなくなる,11/18,コツコツ細かい作業を続けること、工事現場めぐり,自分が作ったものを壊す者、自分の作業を邪魔する存在,, クラフトは、緑色の髪と紫色の目で、背が低い少女です。彼女は、紺色と白色のセーラー服を着ており、スカートにはチェック柄が入っています。また、彼女は、紫色のネクタイを締めており、紺色のニーソックスを履いています。彼女は、左手に紫色のつるはしを持っており、右手でそれを振りかざしています。彼女の周りには、紫色の結晶が浮遊しています。
エリック金光,"く、クロスドライブぅ～オン！
もう、ちょっと待ってって
言ったのにぃ～！",金光ミミの子孫にあたる少年。代々続く金光重工の御曹司で、幼い頃から英才教育を受けてきた秀才だが、非常に気が弱く自分に自信がない。頭脳明晰で機械に強く、モンストドライブの小型サポートメカの基礎設計をしたのも彼である。元々は自ら戦う気はなかったが、宇宙ステーションがメロード帝国軍に襲われ、その救援に向かった際に出会った黒瀬ひばなに一目惚れをし、弱腰ながらも彼女を救うために戦う覚悟を決めたのだった。,気が弱く臆病だが正義感がある,12/10,ひばなさん、メカの設計,喧嘩、気の強い人,男, エリック金光は、モンスターストライクというゲームのキャラクターです。彼は黄色いジャケットを着て、茶色の髪をポニーテールにしています。また、彼は眼鏡をかけており、両手を広げて空を飛んでいるようなポーズをとっています。彼の周りには黄色い光が輝いており、背中にはパラシュートのようなものがあります。
ゲキリン,"心配しなくても大丈夫だって！
これくらい余裕…って、わぁ！",遠い昔にその世界を創世したといわれる伝説の双龍の娘、ゲキリン。双龍より世界の管理を任されており、16歳程度の人間の少女を装い、人の子の世界を見聞きしながら旅行気分と遊び感覚で役目をこなしている。旅先では持ち前の明るい性格で行く先々の人々と仲良くなり、様々な揉め事や厄介事に興味本位で首を突っ込んでは事を大きくしてしまったりすることもあるが、一見アクセサリーのように見える美しい喉元の鱗に龍としての力である怒りのパワーを溜めており、いざという時は力を解放することにより龍としての能力を使って闘い、最終的には楽しい世を作るために悲しいことや怒りを治めていく。ちなみに「ゲキリン」という名前の音の響きをあまり可愛いと思っていないようで、自身のことは「リンちゃん」と呼び、周りの人々にもリンちゃんと呼ぶようにお願いしている。,好奇心旺盛で気になることにはなんでも首を突っ込むタイプ、愛嬌があり人懐こく他人との距離感が近い、強い正義感と責任感を持つ,8/1,困っている人のお手伝いをすること、人々の穏やかな笑顔、旅先でのおいしいものめぐり,困っている人を放っておくこと、人々に怒りや悲しみを与えるもの、「ゲキリン」という自分の名前の響き（あんまり可愛くないから）,女," ゲキリンは、ピンクの髪と黄色の目をした少女です。
彼女は、紫色の着物と黄色の帯を身に着けています。
また、彼女は、桜の花びらとプレゼントを運んでいます。
彼女は、とても幸せそうで、楽しそうです。"
アジテーター,"何というツマラナイ世界！
これを悪夢と言わずして
なんと言おうか♪",元は思慮深く礼儀正しい貴族の紳士だったが、絶望によって狂気の姿へと成り果てた存在。紳士は、貴族たるもの社会をより良くすることが義務であると幼い頃から周囲に教えられ、やりたいことや夢を持つことを許されずに、親の敷いたレールの上を進んでいった。持ち前の性格の良さもあり、自身の使命を全うするために身を粉にして働きながらも、手にした財を貧しい人々の支援にあてるなど、精力的に活動をした結果、紳士は誰しもから称賛される有名な貴族となった。そんなあるとき、稀に見る飢饉が国を襲い、貧しい者たちが路上で息絶えていく事態になってしまう。さらに追い打ちをかけるように、朽ちた死体から発生した新型の流行り病も瞬く間に蔓延し、平和だった国は見る影もなく死に満ちた国となってしまった。紳士は人々を救うために尽力するが、一人の人間ができることには限界があり、救いたい人々は手のひらから砂がこぼれ落ちるように次々と命を落としていく。なんとかしようと死にもの狂いになるも結果が出せない紳士のことを、いつしか国中の人々が「何もできない無能の貴族」だと罵り始める。さらには、身内までもが膨大な私財を投げ売ってしまった紳士の行いを非難し、彼は完全に孤立してしまう。多大な心労から若いながらも真っ白な髪になってしまった己の姿を鏡で見て、自分はいったいなんのために存在しているのだろうかと絶望した紳士だったが、そんな折、彼を流行り病が襲う。激しく咳込み、口から血を流しながら、大きく狂気的に笑い始める紳士。「こんな世界のためにずっと自分を殺して生きてきた。なんて馬鹿らしい！思うがままに自由に生きるべきだった！」絶叫にも似たそんな言葉と共に、彼の姿は異形なる者へと変貌を遂げたのだった。,自己中心的で自由奔放な気分屋,,世界をめちゃくちゃにすること,裏切られること,," アジテーターは、頭部が花、胴体がスーツ姿の男性、左腕が包帯でぐるぐる巻きにされたキャラクターです。
スーツの色は青で、ワイシャツの色は白、ネクタイの色は黒です。
また、アジテーターの背中には「革命」という文字が書かれた紙が貼られています。"
ユビレギリ,秩序は絶対…守らぬ者は刑に処す…,ただ秩序を守ることだけを目的として生きる、秩序欲求の化身たる存在。どんな小さな約束事も、些細なルールも破ることを認めないユビレギリは、ずるずると這いずるように歩きながら世界を見渡し、自身の周囲に「監視黒子（サーベイモウル）」を展開する。監視黒子は周囲の存在の中に秩序の乱れを察知すると、乱した存在を吸収し、ユビレギリのもとへと運ぶのだった。,イエスかノーしかない極端な性格,,秩序、ルール,秩序の乱れ、ルール違反,," ユビレギリは、片目に眼帯を付け、ボロボロのローブを纏った老婆のような姿をしています。
背中には大きな鎌を背負っており、鎌には数本の鎖が巻き付けられています。
また、老婆の頭には数本の針が刺さっており、口元には鋭い牙が覗いています。老婆の左手には、数本の糸が垂れ下がっています。"
月下老人,"恋する想いが叶うお守り…
これで幸せになってくれたら
うれしいな♡",「恋は心のビタミン」をモットーにする縁結びの神。恋が実った人々の幸せそうな笑顔を見たり、自分へのお祈りと共に人々が報告してくれる恋バナを聞くことが何よりの楽しみで、オリジナルのお守りを作って人々の恋を応援したり、独り身の人々に良縁を授けたりしている。白いヒゲをたくわえたウサギたちをおともに携えており、お守りの出荷など様々な場面で協力してもらっている。,明るく前向きで世話焼き,,恋バナ、おしゃれ、おとものウサギたち,失恋や別れ話で人々が悲しんだり怒ったりすること,女," 月下老人は、赤いハートの髪飾り、水色の着物、赤い袴を着た女の子です。
彼女は、赤い糸を操り、2人の人間を結ぶキューピッドのような存在です。
また、彼女は、縁結びの神様としても知られています。
月下老人は、優しそうで、穏やかな性格をしています。
彼女は、いつも人々を幸せにしようと願っています。"
タルタロス,"我こそは
冥府の深淵に君臨せし闇の貴公子…
果てなき牢獄が
お前たちを待っているぞ♪",地の底にある冥府のさらに下方、いわゆる奈落の底には、神々へ反逆した者たちが幽閉されている牢獄に似た場所があった。その地を治める神・タルタロスは、突風と共に現れて、神々に背く罪深き者たちを奈落へ連れ去ることを己の使命としている。「冥府の深淵に君臨せし闇の貴公子」を自称しており、その言動には痛々しい部分が目立つが、溢れ出る気品と神としての実力は確かである。,中二病的な痛々しい言動をするが、正義感と責任感は強い,,我を包み込む深き闇,神に仇なす咎人たち、我の瞳を突き刺す眩き光,男," タルタロスは、緑色の髪と赤い目をした少年です。
彼は黒いコートを着ていて、コートの襟には金色の装飾がされています。
また、黒いブーツを履いています。

彼は右手に鎖鎌を持っています。鎖鎌の鎌の部分には、どくろの装飾がされています。

タルタロスは、ギリシア神話に登場する怪物です。
彼は、クロノスとレアーの息子であり、ティタン神族の一柱です。
タルタロスは、冥界の最深部に幽閉されており、世界の終わりまでそこに閉じ込められる運命にあります。"
ファイト,"フレーム単位でしのぎを削る…
その土俵に上がるってんなら、
相手をしてやるぜ！",マスターディスクを所持する運命に選ばれた高校生の少年。過去に両親が失踪し、幼い弟妹たちを養うために、国内国外問わず多くの格闘ゲーム大会に参加しては賞金を稼いでおり、「格ゲー界のバウンティハンター」の異名を持っている。中でも、獣人に変身できるキャラクターを操作して闘う対戦格闘ゲーム『BEAST BITES Fighters』を好み、ハイレベルなプレイヤースキルとどんな状況でも諦めない不屈の心を併せ持っている。しかし、自分が弟妹たちを助けなければならないという強い責任感から純粋にゲームを楽しむ気持ちを失ってしまったことで、ゲームの腕が伸び悩むようになった。そんな折、マスターディスクの能力に目覚め、その思念に囚われたことで非情なプレイスタイルへと変貌を遂げた。所属するチームのスポンサーの意向で、キャラを立たせるために普段から不良風のファッションを身にまとっており、実際はそういったタイプの性格ではないが本人としては「気合が入る」という理由で気に入っているという。,硬派で実直、愛想はないが面倒見がいい兄貴肌,8/30,弟妹たち、格闘ゲーム,勝負に負けること、卑怯な行い,男," ファイトは、金髪碧眼で、赤いジャケットを着ています。
左腕には緑色のリストバンドをしています。
また、黒いズボンを身に着けており、赤いスニーカーを履いています。
彼は左手を前に突き出し、右手を後ろに引いて構えています。
その背後には炎と化した狼がおり、彼を鼓舞しています。"
マサムネ,"腹が減っては使命を果たせない
（もぐもぐごっくん）
よし、行くか！",近未来、異国の属国となったとある国で生きる少女「マサムネ」。「マサムネ」は、古来より国を治めてきた王族である「ミカド」の護衛を代々行う一族の当主の名であり、自身がミカドの護刀そのものとして生きる使命を帯びた者である。16代目となるこの少女は、歴代でも類い稀なる才能を持っていたため、分家でありながら、先祖代々より受け継がれてきた力とその象徴である赤き閃光を放つ”神刀”を継承し「マサムネ」を襲名することとなった。普段は任務を全うするために常に冷静沈着であろうと努めているが、特殊な家柄の生まれであるためどこか浮世離れしたところがあり、やや天然ボケ気味な部分も見受けられる。刀を始め、あらゆる武器についての知識が豊富で構造から使用方法まですべてを熟知している一方で、戦闘以外の分野はとにかく不器用。特に家電製品の扱いは非常に苦手としている。また、見た目や立ち居振る舞いから想像できないほどの大食いであり、特に豚まんが大好物である。,真面目でストイック、命に変えても己の責務を果たそうという強い意志と責任感を持つ,10/4,日々の修練と武器の手入れ、豚まん,家電製品や電子機器の取り扱い,女," マサムネは、金色の髪を後ろに長く垂らした少女です。
髪には赤いリボンをつけています。
彼女は紺色のジャケットを着ていて、白いブラウスを着ています。
スカートは白地に紺色のラインが入っています。
紺色のニーソックスを履き、茶色のローファーを履いています。
彼女は左手で包子を持ち、右手で弓矢を持っています。
弓矢には赤い房がついています。
彼女の周りには、中華街の背景が広がっています。"
ロヴァー,"この世を生きるその苦しみ、
さぞお辛かったことでしょう…
私がお救いしますのでご安心を…♡",元は人々を慈しむ優しい心を持つ美しい令嬢だったが、言葉に言霊が宿るようになったことで狂気の姿へと成り果てた存在。令嬢は、貧しい人々や困っている人々を救うために慈善事業を行い、皆からその素晴らしさと美しさを賛美されていたが、ある日、唐突に彼女が住む国で悲惨な戦争が始まってしまう。自身の行いで助け、救ってきた人々が、戦争で無惨な最期を遂げてしまう様を目の当たりにし、さらにそんな状況下で彼女にすがり助けを求める人々が集う地獄のような光景に、令嬢は生きること自体が辛いことであり、取り除かねばならない問題の根源であるという考えに至る。そうして令嬢は、彼女を慕う人々に対し、生きることを辞めて心安らかになるよう優しく語りかけた。するとその言葉を耳にした民衆は、救われたかのような表情を浮かべながら、次々に迷いなく己の命を断っていく。令嬢の言葉にはいつしか、特別な言霊が宿るようになっていたのだ。数多の命が自分のもとへ集い、救済の喜びを歌い上げる無惨にも美しいその光景に令嬢は狂ったように魅了され、いつしか異形の姿へと変貌を遂げていた。こうしてすべての人々の生きる希望を奪い、その魂を差し出させた彼女は、もっと大勢の人々を苦しみから救うために、救済の旅へと赴くのだった。,温厚で誰にでも平等、思い込みが激しく他者の意見に耳を貸さない,,善い行い、苦しむ人々の救済,救うべき者がいない世界,, ロヴァーは、緑色のドレスを着た女性の姿をしています。ドレスは、胸元とスカート部分に大きなクリスタルがついており、裾は鋭利な刃物のような形をしています。背中には、シャンデリアのようなものがついており、そこから鎖が垂れ下がっています。顔は、仮面で覆われており、目は赤く輝いています。髪は、緑色で長く、後ろでまとめられています。身長は、約2mです。
